videoname,poi,context,value
3358,Ronald Reagan,3358,
3359,Alec Guinness,3359,
3360,Ayn Rand,3360,
3361,Alexandria Ocasio-Cortez,3361,
3362,Ronald Reagan,3362,
3363,Bernie Sanders,3363,
3364,Alec Guinness,3364,
3365,Alec Guinness,3365,
3366,Alec Guinness,3366,
3367,Bill Clinton,3367,
3368,Christopher Hitchens,3368,
3369,Martin Luther King,3369,
3370,Ayn Rand,3370,
3371,Ayn Rand,3371,
3372,Queen Elizabeth II,3372,
3373,Ayn Rand,3373,
3374,Bill Clinton,3374,
3375,Ronald Reagan,3375,
3376,George W. Bush,3376,
3377,Alec Guinness,3377,
3378,Donald Trump,3378,
3379,Bernie Sanders,3379,
3380,Bernie Sanders,3380,
3381,Kamala Harris,3381,
3382,Alec Guinness,3382,
3383,John Cleese,3383,
3384,Ayn Rand,3384,
3385,Winston Churchill,3385,
3386,Bill Clinton,3386,
3387,Donald Trump,3387,
3388,Alec Guinness,3388,
3389,Bernie Sanders,3389,
3390,Donald Trump,3390,
3391,Winston Churchill,3391,
3392,Donald Trump,3392,
3393,Donald Trump,3393,
3394,George Carlin,3394,
3395,Christopher Hitchens,3395,
3396,Bernie Sanders,3396,
3397,Ayn Rand,3397,
3398,Bill Clinton,3398,
3399,Mr. Rogers,3399,
3400,Alec Guinness,3400,
3401,Bill Clinton,3401,
3402,Ronald Reagan,3402,
3403,Bill Clinton,3403,
3404,Bernie Sanders,3404,
3405,Christopher Hitchens,3405,
3406,Bill Clinton,3406,
3407,Martin Luther King,3407,
3408,Gilbert Gottfried,3408,
3409,Bill Clinton,3409,
3410,JFK,3410,
3411,Alan Watts,3411,
3412,Queen Elizabeth II,3412,
3413,Barack Obama,3413,
3414,Donald Trump,3414,
3415,Ayn Rand,3415,
3416,George Carlin,3416,
3417,Winston Churchill,3417,
3418,Ayn Rand,3418,
3419,Bernie Sanders,3419,
3420,Alec Guinness,3420,
3421,Martin Luther King,3421,
3422,Bernie Sanders,3422,
3423,Alec Guinness,3423,
3424,Alexandria Ocasio-Cortez,3424,
3425,Bill Burr,3425,
3426,The Notorious B.I.G.,3426,
3427,Bernie Sanders,3427,
3428,Alec Guinness,3428,
3429,Barack Obama,3429,
3430,Winston Churchill,3430,
3431,FDR,3431,
3432,Bill Clinton,3432,
3433,Queen Elizabeth II,3433,
3434,Gilbert Gottfried,3434,
3435,Boris Johnson,3435,
3436,Donald Trump,3436,
3437,Barack Obama,3437,
3438,JFK,3438,
3439,Bill Clinton,3439,
3440,Alec Guinness,3440,
3441,FDR,3441,
3442,The Notorious B.I.G.,3442,
3443,Queen Elizabeth II,3443,
3444,Alec Guinness,3444,
3445,Bill Clinton,3445,
3446,Donald Trump,3446,
3447,Bernie Sanders,3447,
3448,Winston Churchill,3448,
3449,Mark Zuckerberg,3449,
3450,Christopher Hitchens,3450,
3451,Ayn Rand,3451,
3452,Christopher Hitchens,3452,
3453,Dwight Eisenhower,3453,
3454,Christopher Hitchens,3454,
3455,Mark Zuckerberg,3455,
3456,Mark Zuckerberg,3456,
3457,Alan Watts,3457,
3458,Donald Trump,3458,
3459,Ayn Rand,3459,
3460,Bill Clinton,3460,
3461,Martin Luther King,3461,
3462,Bill Clinton,3462,
3463,Bill Clinton,3463,
3464,Winston Churchill,3464,
3465,Donald Trump,3465,
3466,Milton Friedman,3466,
3467,Martin Luther King,3467,
3468,Alec Guinness,3468,
3469,FDR,3469,
3470,Barack Obama,3470,
3471,Donald Trump,3471,
3472,Barack Obama,3472,
3473,Donald Trump,3473,
3474,Ronald Reagan,3474,
3475,JFK,3475,
3476,Harry Truman,3476,
3477,Donald Trump,3477,
3478,Ronald Reagan,3478,
3479,Barack Obama,3479,
3480,Donald Trump,3480,
3481,Bernie Sanders,3481,
3482,Martin Luther King,3482,
3483,Barack Obama,3483,
3484,Milton Friedman,3484,
3485,Alec Guinness,3485,
3486,Boris Johnson,3486,
3487,Donald Trump,3487,
3488,Bill Clinton,3488,
3489,Ronald Reagan,3489,
3490,Milton Friedman,3490,
3491,Adam Driver,3491,
3492,Lyndon Johnson,3492,
3493,Alec Guinness,3493,
3494,Orson Welles,3494,
3495,Bernie Sanders,3495,
3496,Winston Churchill,3496,
3497,Donald Trump,3497,
3498,Donald Trump,3498,
3499,Gilbert Gottfried,3499,
3500,Boris Johnson,3500,
3501,Louis Farrakhan,3501,
3502,Alec Guinness,3502,
3503,Milton Friedman,3503,
3504,JFK,3504,
3505,Boris Johnson,3505,
3506,The Notorious B.I.G.,3506,
3507,Barack Obama,3507,
3508,Barack Obama,3508,
3509,Winston Churchill,3509,
3510,Bernie Sanders,3510,
3511,Winston Churchill,3511,
3512,Harry Truman,3512,
3513,Alec Guinness,3513,
3514,Martin Luther King,3514,
3515,Christopher Hitchens,3515,
3516,Bernie Sanders,3516,
3517,Alec Guinness,3517,
3518,Alec Guinness,3518,
3519,Donald Trump,3519,
3520,Norm MacDonald,3520,
3521,Bernie Sanders,3521,
3522,Bernie Sanders,3522,
3523,Ayn Rand,3523,
3524,Donald Trump,3524,
3525,Barack Obama,3525,
3526,Robert Kardashian,3526,
3527,Mark Zuckerberg,3527,
3528,Donald Trump,3528,
3529,Donald Trump,3529,
3530,Nick Offerman,3530,
3531,Ronald Reagan,3531,
3532,Barack Obama,3532,
3533,Winston Churchill,3533,
3534,Alec Guinness,3534,
3535,Norm MacDonald,3535,
3536,George W. Bush,3536,
3537,Ronald Reagan,3537,
3538,Ronald Reagan,3538,
3539,Bernie Sanders,3539,
3540,Donald Trump,3540,
3541,Christopher Hitchens,3541,
3542,Alec Guinness,3542,
3543,Bill Burr,3543,
3544,Alan Watts,3544,
3545,Boris Johnson,3545,
3546,Winston Churchill,3546,
3547,Ronald Reagan,3547,
3548,Donald Trump,3548,
3549,Ayn Rand,3549,
3550,Harry Truman,3550,
3551,George W. Bush,3551,
3552,Nelson Mandela,3552,
3553,Barack Obama,3553,
3554,Bernie Sanders,3554,
3555,Barack Obama,3555,
3556,The Notorious B.I.G.,3556,
3557,Alec Guinness,3557,
3558,Nick Offerman,3558,
3559,Barack Obama,3559,
3560,Ayn Rand,3560,
3561,Nick Offerman,3561,
3562,Martin Luther King,3562,
3563,Norm MacDonald,3563,
3564,Alec Guinness,3564,
3565,Winston Churchill,3565,
3566,Alec Guinness,3566,
3567,Winston Churchill,3567,
3568,Barack Obama,3568,
3569,Donald Trump,3569,
3570,Barack Obama,3570,
3571,Ronald Reagan,3571,
3572,Alec Guinness,3572,
3573,Alec Guinness,3573,
3574,Jeff Goldblum,3574,
3575,Barack Obama,3575,
3576,Donald Trump,3576,
3577,Milton Friedman,3577,
3578,Boris Johnson,3578,
3579,Winston Churchill,3579,
3580,Donald Trump,3580,
3581,Louis Farrakhan,3581,
3582,Mark Zuckerberg,3582,
3583,Barack Obama,3583,
3584,Barack Obama,3584,
3585,Bill Clinton,3585,
3586,Bill Clinton,3586,
3587,Alec Guinness,3587,
3588,Barack Obama,3588,
3589,Bill Clinton,3589,
3590,Alec Guinness,3590,
3591,Queen Elizabeth II,3591,
3592,Christopher Hitchens,3592,
3593,Bernie Sanders,3593,
3594,Bernie Sanders,3594,
3595,Jeff Goldblum,3595,
3596,Alec Guinness,3596,
3597,Ayn Rand,3597,
3598,Barack Obama,3598,
3599,Calvin Coolidge,3599,
3600,Donald Trump,3600,
3601,Christopher Hitchens,3601,
3602,Barack Obama,3602,
3603,Barack Obama,3603,
3604,Barack Obama,3604,
3605,George Carlin,3605,
3606,Alec Guinness,3606,
3607,Ronald Reagan,3607,
3608,Ayn Rand,3608,
3609,Lyndon Johnson,3609,
3610,Bernie Sanders,3610,
3611,Alec Guinness,3611,
3612,Bill Clinton,3612,
3613,Alan Watts,3613,
3614,Alec Guinness,3614,
3615,Richard Nixon,3615,
3616,JFK,3616,
3617,Nelson Mandela,3617,
3618,Gilbert Gottfried,3618,
3619,George Carlin,3619,
3620,Bernie Sanders,3620,
3621,Ayn Rand,3621,
3622,Donald Trump,3622,
3623,Winston Churchill,3623,
3624,Malcolm X,3624,
3625,Bernie Sanders,3625,
3626,Bernie Sanders,3626,
3627,Martin Luther King,3627,
3628,Alec Guinness,3628,
3629,Louis C.K.,3629,
3630,Barack Obama,3630,
3631,Donald Trump,3631,
3632,Alec Guinness,3632,
3633,JFK,3633,
3634,Richard Nixon,3634,
3635,Alec Guinness,3635,
3636,Donald Trump,3636,
3637,Barack Obama,3637,
3638,Alec Guinness,3638,
3639,The Notorious B.I.G.,3639,
3640,Winston Churchill,3640,
3641,Ayn Rand,3641,
3642,Alexandria Ocasio-Cortez,3642,
3643,Ronald Reagan,3643,
3644,Martin Luther King,3644,
3645,JFK,3645,
3646,Ronald Reagan,3646,
3647,Gilbert Gottfried,3647,
3648,Milton Friedman,3648,
3649,Boris Johnson,3649,
3650,Bernie Sanders,3650,
3651,Louis Farrakhan,3651,
3652,Barack Obama,3652,
3653,Barack Obama,3653,
3654,Bill Clinton,3654,
3655,Ronald Reagan,3655,
3656,Alec Guinness,3656,
3657,Alec Guinness,3657,
3658,Bill Clinton,3658,
3659,Bernie Sanders,3659,
3660,Donald Trump,3660,
3661,Bernie Sanders,3661,
3662,Lyndon Johnson,3662,
3663,Nelson Mandela,3663,
3664,Donald Trump,3664,
3665,JFK,3665,
3666,Bernie Sanders,3666,
3667,Ayn Rand,3667,
3668,JFK,3668,
3669,George W. Bush,3669,
3670,Bill Clinton,3670,
3671,Arnold Schwarzenegger,3671,
3672,Bob Ross,3672,
3673,Martin Luther King,3673,
3674,Alexandria Ocasio-Cortez,3674,
3675,George W. Bush,3675,
3676,Ayn Rand,3676,
3677,Martin Luther King,3677,
3678,Barack Obama,3678,
3679,Alec Guinness,3679,
3680,Bill Clinton,3680,
3681,George Carlin,3681,
3682,Bernie Sanders,3682,
3683,Barack Obama,3683,
3684,Martin Luther King,3684,
3685,Donald Trump,3685,
3686,Mark Zuckerberg,3686,
3687,Bill Clinton,3687,
3688,Donald Trump,3688,
3689,Barack Obama,3689,
3690,Bernie Sanders,3690,
3691,Alexandria Ocasio-Cortez,3691,
3692,Martin Luther King,3692,
3693,Adam Driver,3693,
3694,Alan Watts,3694,
3695,Alec Guinness,3695,
3696,Adam Driver,3696,
3697,Ayn Rand,3697,
3698,Ayn Rand,3698,
3699,Barack Obama,3699,
3700,Donald Trump,3700,
3701,Barack Obama,3701,
3702,Ronald Reagan,3702,
3703,The Notorious B.I.G.,3703,
3704,Winston Churchill,3704,
3705,Alec Guinness,3705,
3706,Louis Farrakhan,3706,
3707,Bernie Sanders,3707,
3708,Orson Welles,3708,
3709,Bernie Sanders,3709,
3710,Alec Guinness,3710,
3711,Christopher Hitchens,3711,
3712,Bill Clinton,3712,
3713,Milton Friedman,3713,
3714,Bernie Sanders,3714,
3715,Donald Trump,3715,
3716,Ayn Rand,3716,
3717,Gilbert Gottfried,3717,
3718,Nelson Mandela,3718,
3719,Alec Guinness,3719,
3720,Milton Friedman,3720,
3721,Donald Trump,3721,
3722,Barack Obama,3722,
3723,Louis C.K.,3723,
3724,Alec Guinness,3724,
3725,Bill Clinton,3725,
3726,Arnold Schwarzenegger,3726,
3727,Arnold Schwarzenegger,3727,
3728,Ayn Rand,3728,
3729,Frank Sinatra,3729,
3730,Alec Guinness,3730,
3731,Christopher Hitchens,3731,
3732,Alec Guinness,3732,
3733,Alec Guinness,3733,
3734,John Cleese,3734,
3735,Winston Churchill,3735,
3736,Ronald Reagan,3736,
3737,FDR,3737,
3738,Donald Trump,3738,
3739,Ayn Rand,3739,
3740,Queen Elizabeth II,3740,
3741,Donald Trump,3741,
3742,Bill Clinton,3742,
3743,Christopher Hitchens,3743,
3744,Bill Burr,3744,
3745,JFK,3745,
3746,Alec Guinness,3746,
3747,Richard Nixon,3747,
3748,Bernie Sanders,3748,
3749,Adam Driver,3749,
3750,FDR,3750,
3751,Barack Obama,3751,
3752,Bernie Sanders,3752,
3753,Scarlett Johansson,3753,
3754,Bernie Sanders,3754,
3755,Harry Truman,3755,
3756,Donald Trump,3756,
3757,The Notorious B.I.G.,3757,
3758,Barack Obama,3758,
3759,Ronald Reagan,3759,
3760,Mark Zuckerberg,3760,
3761,Donald Trump,3761,
3762,Bernie Sanders,3762,
3763,Christopher Hitchens,3763,
3764,Nelson Mandela,3764,
3765,Ayn Rand,3765,
3766,Alec Guinness,3766,
3767,Alec Guinness,3767,
3768,Alec Guinness,3768,
3769,Bernie Sanders,3769,
3770,Nelson Mandela,3770,
3771,Barack Obama,3771,
3772,Donald Trump,3772,
3773,Alec Guinness,3773,
3774,Boris Johnson,3774,
3775,George Carlin,3775,
3776,Barack Obama,3776,
3777,Alec Guinness,3777,
3778,Barack Obama,3778,
3779,Barack Obama,3779,
3780,Boris Johnson,3780,
3781,Alec Guinness,3781,
3782,Barack Obama,3782,
3783,Barack Obama,3783,
3784,Barack Obama,3784,
3785,Bernie Sanders,3785,
3786,Alan Watts,3786,
3787,Ayn Rand,3787,
3788,Bill Clinton,3788,
3789,Alec Guinness,3789,
3790,Alec Guinness,3790,
3791,JFK,3791,
3792,Mark Zuckerberg,3792,
3793,Bernie Sanders,3793,
3794,Ronald Reagan,3794,
3795,Ayn Rand,3795,
3796,Barack Obama,3796,
3797,Gilbert Gottfried,3797,
3798,Ayn Rand,3798,
3799,Donald Trump,3799,
3800,Bob Ross,3800,
3801,Barack Obama,3801,
3802,Ayn Rand,3802,
3803,Adam Driver,3803,
3804,JFK,3804,
3805,Donald Trump,3805,
3806,Barack Obama,3806,
3807,Barack Obama,3807,
3808,Donald Trump,3808,
3809,Alexandria Ocasio-Cortez,3809,
3810,Bill Clinton,3810,
3811,Donald Trump,3811,
3812,Bernie Sanders,3812,
3813,Donald Trump,3813,
3814,Donald Trump,3814,
3815,Winston Churchill,3815,
3816,Donald Trump,3816,
3817,Martin Luther King,3817,
3818,Alec Guinness,3818,
3819,Boris Johnson,3819,
3820,JFK,3820,
3821,Bill Clinton,3821,
3822,Ayn Rand,3822,
3823,Barack Obama,3823,
3824,Alec Guinness,3824,
3825,Bill Burr,3825,
3826,Ronald Reagan,3826,
3827,Christopher Hitchens,3827,
3828,Christopher Hitchens,3828,
3829,Donald Trump,3829,
3830,Donald Trump,3830,
3831,Ayn Rand,3831,
3832,Barack Obama,3832,
3833,Alexandria Ocasio-Cortez,3833,
3834,Ayn Rand,3834,
3835,Mark Zuckerberg,3835,
3836,Christopher Hitchens,3836,
3837,Donald Trump,3837,
3838,FDR,3838,
3839,Donald Trump,3839,
3840,Dwight Eisenhower,3840,
3841,Louis Farrakhan,3841,
3842,Orson Welles,3842,
3843,Boris Johnson,3843,
3844,Ayn Rand,3844,
3845,Christopher Hitchens,3845,
3846,Bill Clinton,3846,
3847,Dwight Eisenhower,3847,
3848,Donald Trump,3848,
3849,Richard Nixon,3849,
3850,Bernie Sanders,3850,
3851,Ronald Reagan,3851,
3852,Ayn Rand,3852,
3853,Ayn Rand,3853,
3854,Ayn Rand,3854,
3855,Bill Clinton,3855,
3856,Donald Trump,3856,
3857,Bernie Sanders,3857,
3858,The Notorious B.I.G.,3858,
3859,Bill Clinton,3859,
3860,Donald Trump,3860,
3861,Christopher Hitchens,3861,
3862,Adam Driver,3862,
3863,Mark Zuckerberg,3863,
3864,Bill Burr,3864,
3865,Bernie Sanders,3865,
3866,Bernie Sanders,3866,
3867,Alec Guinness,3867,
3868,Barack Obama,3868,
3869,Bill Clinton,3869,
3870,Donald Trump,3870,
3871,Alec Guinness,3871,
3872,Donald Trump,3872,
3873,Winston Churchill,3873,
3874,Bernie Sanders,3874,
3875,Barack Obama,3875,
3876,Alec Guinness,3876,
3877,Martin Luther King,3877,
3878,Donald Trump,3878,
3879,Mark Zuckerberg,3879,
3880,Mark Zuckerberg,3880,
3881,Ronald Reagan,3881,
3882,Nelson Mandela,3882,
3883,Bernie Sanders,3883,
3884,Bill Clinton,3884,
3885,Alan Watts,3885,
3886,Barack Obama,3886,
3887,Lyndon Johnson,3887,
3888,Donald Trump,3888,
3889,Ronald Reagan,3889,
3890,FDR,3890,
3891,Bill Burr,3891,
3892,Robert Kardashian,3892,
3893,Norm MacDonald,3893,
3894,Barack Obama,3894,
3895,Bill Clinton,3895,
3896,Barack Obama,3896,
3897,Queen Elizabeth II,3897,
3898,Winston Churchill,3898,
3899,Christopher Hitchens,3899,
3900,Barack Obama,3900,
3901,Bernie Sanders,3901,
3902,Alan Watts,3902,
3903,Dwight Eisenhower,3903,
3904,Christopher Hitchens,3904,
3905,Barack Obama,3905,
3906,Bernie Sanders,3906,
3907,FDR,3907,
3908,Mr. Rogers,3908,
3909,Barack Obama,3909,
3910,Milton Friedman,3910,
3911,Bill Clinton,3911,
3912,Christopher Hitchens,3912,
3913,Ayn Rand,3913,
3914,Christopher Hitchens,3914,
3915,Ayn Rand,3915,
3916,Alec Guinness,3916,
3917,Alec Guinness,3917,
3918,Louis Farrakhan,3918,
3919,Donald Trump,3919,
3920,Martin Luther King,3920,
3921,Ayn Rand,3921,
3922,Martin Luther King,3922,
3923,Barack Obama,3923,
3924,Donald Trump,3924,
3925,Donald Trump,3925,
3926,Bob Ross,3926,
3927,Ronald Reagan,3927,
3928,Donald Trump,3928,
3929,Barack Obama,3929,
3930,Bill Burr,3930,
3931,Christopher Hitchens,3931,
3932,Ayn Rand,3932,
3933,Bernie Sanders,3933,
3934,Milton Friedman,3934,
3935,Alan Watts,3935,
3936,Lyndon Johnson,3936,
3937,Donald Trump,3937,
3938,Ayn Rand,3938,
3939,Mark Zuckerberg,3939,
3940,Bob Ross,3940,
3941,Bernie Sanders,3941,
3942,Barack Obama,3942,
3943,Alexandria Ocasio-Cortez,3943,
3944,Kanye West,3944,
3945,Nelson Mandela,3945,
3946,Christopher Hitchens,3946,
3947,Christopher Hitchens,3947,
3948,Barack Obama,3948,
3949,Alec Guinness,3949,
3950,Mark Zuckerberg,3950,
3951,Donald Trump,3951,
3952,Barack Obama,3952,
3953,Barack Obama,3953,
3954,Barack Obama,3954,
3955,Mitch Hedberg,3955,
3956,Donald Trump,3956,
3957,Barack Obama,3957,
3958,Mark Zuckerberg,3958,
3959,Nick Offerman,3959,
3960,Boris Johnson,3960,
3961,The Notorious B.I.G.,3961,
3962,FDR,3962,
3963,Bernie Sanders,3963,
3964,Bernie Sanders,3964,
3965,Alec Guinness,3965,
3966,Winston Churchill,3966,
3967,Bill Clinton,3967,
3968,Boris Johnson,3968,
3969,Donald Trump,3969,
3970,Lyndon Johnson,3970,
3971,Gilbert Gottfried,3971,
3972,Ayn Rand,3972,
3973,Ayn Rand,3973,
3974,Winston Churchill,3974,
3975,2Pac,3975,
3976,Martin Luther King,3976,
3977,Bernie Sanders,3977,
3978,Malcolm X,3978,
3979,Ronald Reagan,3979,
3980,Bernie Sanders,3980,
3981,Alec Guinness,3981,
3982,Alec Guinness,3982,
3983,Barack Obama,3983,
3984,Bernie Sanders,3984,
3985,Barack Obama,3985,
3986,JFK,3986,
3987,2Pac,3987,
3988,Ayn Rand,3988,
3989,Alan Watts,3989,
3990,George W. Bush,3990,
3991,Donald Trump,3991,
3992,Alan Watts,3992,
3993,Alec Guinness,3993,
3994,Bernie Sanders,3994,
3995,Donald Trump,3995,
3996,Alec Guinness,3996,
3997,Adam Driver,3997,
3998,Gilbert Gottfried,3998,
3999,Barack Obama,3999,
4000,Christopher Hitchens,4000,
4001,Christopher Hitchens,4001,
4002,Malcolm X,4002,
4003,Orson Welles,4003,
4004,The Notorious B.I.G.,4004,
4005,Donald Trump,4005,
4006,Alec Guinness,4006,
4007,Winston Churchill,4007,
4008,Barack Obama,4008,
4009,Ronald Reagan,4009,
4010,Alec Guinness,4010,
4011,Barack Obama,4011,
4012,Ayn Rand,4012,
4013,Winston Churchill,4013,
4014,JFK,4014,
4015,Alec Guinness,4015,
4016,Bill Clinton,4016,
4017,Bill Clinton,4017,
4018,Alec Guinness,4018,
4019,Alec Guinness,4019,
4020,Gilbert Gottfried,4020,
4021,Bernie Sanders,4021,
4022,Mitch Hedberg,4022,
4023,JFK,4023,
4024,Alec Guinness,4024,
4025,Barack Obama,4025,
4026,Richard Nixon,4026,
4027,Bernie Sanders,4027,
4028,Alec Guinness,4028,
4029,Ronald Reagan,4029,
4030,Donald Trump,4030,
4031,Christopher Hitchens,4031,
4032,Mark Zuckerberg,4032,
4033,FDR,4033,
4034,Alec Guinness,4034,
4035,FDR,4035,
4036,Winston Churchill,4036,
4037,Donald Trump,4037,
4038,Dwight Eisenhower,4038,
4039,Louis Farrakhan,4039,
4040,Donald Trump,4040,
4041,Christopher Hitchens,4041,
4042,Bernie Sanders,4042,
4043,Barack Obama,4043,
4044,Barack Obama,4044,
4045,Ayn Rand,4045,
4046,Alexandria Ocasio-Cortez,4046,
4047,Alec Guinness,4047,
4048,Barack Obama,4048,
4049,Alec Guinness,4049,
4050,Barack Obama,4050,
4051,Dwight Eisenhower,4051,
4052,Boris Johnson,4052,
4053,John Cleese,4053,
4054,Donald Trump,4054,
4055,Barack Obama,4055,
4056,Ronald Reagan,4056,
4057,Bill Clinton,4057,
4058,Barack Obama,4058,
4059,The Notorious B.I.G.,4059,
4060,Bill Clinton,4060,
4061,Barack Obama,4061,
4062,Bill Clinton,4062,
4063,Bill Clinton,4063,
4064,Barack Obama,4064,
4065,Winston Churchill,4065,
4066,Barack Obama,4066,
4067,Winston Churchill,4067,
4068,Bill Clinton,4068,
4069,Ayn Rand,4069,
4070,Winston Churchill,4070,
4071,Ronald Reagan,4071,
4072,Winston Churchill,4072,
4073,Alec Guinness,4073,
4074,Alec Guinness,4074,
4075,Tucker Carlson,4075,
4076,Ayn Rand,4076,
4077,Donald Trump,4077,
4078,Donald Trump,4078,
4079,Alec Guinness,4079,
4080,Martin Luther King,4080,
4081,Gilbert Gottfried,4081,
4082,Richard Nixon,4082,
4083,Martin Luther King,4083,
4084,Bernie Sanders,4084,
4085,Ayn Rand,4085,
4086,George Carlin,4086,
4087,Bill Clinton,4087,
4088,George Carlin,4088,
4089,Arnold Schwarzenegger,4089,
4090,Queen Elizabeth II,4090,
4091,Mark Zuckerberg,4091,
4092,Ronald Reagan,4092,
4093,Ayn Rand,4093,
4094,Bernie Sanders,4094,
4095,Alec Guinness,4095,
4096,Alec Guinness,4096,
4097,Bill Clinton,4097,
4098,Alec Guinness,4098,
4099,Adam Driver,4099,
4100,Kanye West,4100,
4101,Alec Guinness,4101,
4102,Robert Kardashian,4102,
4103,Bernie Sanders,4103,
4104,Bernie Sanders,4104,
4105,Robert Kardashian,4105,
4106,Donald Trump,4106,
4107,Bill Clinton,4107,
4108,Nelson Mandela,4108,
4109,Donald Trump,4109,
4110,Bernie Sanders,4110,
4111,FDR,4111,
4112,Milton Friedman,4112,
4113,Alexandria Ocasio-Cortez,4113,
4114,Alec Guinness,4114,
4115,Alec Guinness,4115,
4116,Bernie Sanders,4116,
4117,Donald Trump,4117,
4118,Christopher Hitchens,4118,
4119,Barack Obama,4119,
4120,George Carlin,4120,
4121,Bill Clinton,4121,
4122,Gilbert Gottfried,4122,
4123,Richard Nixon,4123,
4124,Donald Trump,4124,
4125,Barack Obama,4125,
4126,Alexandria Ocasio-Cortez,4126,
4127,Martin Luther King,4127,
4128,Alec Guinness,4128,
4129,Ayn Rand,4129,
4130,Nelson Mandela,4130,
4131,Bernie Sanders,4131,
4132,Donald Trump,4132,
4133,Bill Burr,4133,
4134,Alec Guinness,4134,
4135,Barack Obama,4135,
4136,Arnold Schwarzenegger,4136,
4137,Bernie Sanders,4137,
4138,Ayn Rand,4138,
4139,Winston Churchill,4139,
4140,Barack Obama,4140,
4141,Adam Driver,4141,
4142,Bill Clinton,4142,
4143,Norm MacDonald,4143,
4144,Christopher Hitchens,4144,
4145,Alec Guinness,4145,
4146,Donald Trump,4146,
4147,Christopher Hitchens,4147,
4148,Bernie Sanders,4148,
4149,Donald Trump,4149,
4150,Martin Luther King,4150,
4151,Bernie Sanders,4151,
4152,George Carlin,4152,
4153,Alexandria Ocasio-Cortez,4153,
4154,Boris Johnson,4154,
4155,Louis Farrakhan,4155,
4156,Alec Guinness,4156,
4157,Christopher Hitchens,4157,
4158,JFK,4158,
4159,Ayn Rand,4159,
4160,Robert Kardashian,4160,
4161,Alec Guinness,4161,
4162,Alec Guinness,4162,
4163,JFK,4163,
4164,Bernie Sanders,4164,
4165,Barack Obama,4165,
4166,Ayn Rand,4166,
4167,Alec Guinness,4167,
4168,Alec Guinness,4168,
4169,Louis Farrakhan,4169,
4170,Bernie Sanders,4170,
4171,Kanye West,4171,
4172,Dwight Eisenhower,4172,
4173,Robert Kardashian,4173,
4174,Christopher Hitchens,4174,
4175,Lyndon Johnson,4175,
4176,Bernie Sanders,4176,
4177,Donald Trump,4177,
4178,Ronald Reagan,4178,
4179,Donald Trump,4179,
4180,Ayn Rand,4180,
4181,Martin Luther King,4181,
4182,Gilbert Gottfried,4182,
4183,Ayn Rand,4183,
4184,Bob Ross,4184,
4185,Bill Clinton,4185,
4186,Louis Farrakhan,4186,
4187,Bill Clinton,4187,
4188,Alexandria Ocasio-Cortez,4188,
4189,Richard Nixon,4189,
4190,Bernie Sanders,4190,
4191,Alec Guinness,4191,
4192,Barack Obama,4192,
4193,Alec Guinness,4193,
4194,Bernie Sanders,4194,
4195,Ayn Rand,4195,
4196,Barack Obama,4196,
4197,Louis Farrakhan,4197,
4198,Donald Trump,4198,
4199,Mr. Rogers,4199,
4200,Donald Trump,4200,
4201,Ayn Rand,4201,
4202,Ayn Rand,4202,
4203,2Pac,4203,
4204,Donald Trump,4204,
4205,Alec Guinness,4205,
4206,JFK,4206,
4207,Donald Trump,4207,
4208,Christopher Hitchens,4208,
4209,Donald Trump,4209,
4210,Milton Friedman,4210,
4211,Donald Trump,4211,
4212,Bernie Sanders,4212,
4213,Milton Friedman,4213,
4214,Ayn Rand,4214,
4215,Kanye West,4215,
4216,Bernie Sanders,4216,
4217,Christopher Hitchens,4217,
4218,Bill Clinton,4218,
4219,George W. Bush,4219,
4220,Boris Johnson,4220,
4221,Louis Farrakhan,4221,
4222,Bill Burr,4222,
4223,Ayn Rand,4223,
4224,Barack Obama,4224,
4225,Milton Friedman,4225,
4226,Ayn Rand,4226,
4227,Barack Obama,4227,
4228,Barack Obama,4228,
4229,Bill Clinton,4229,
4230,Barack Obama,4230,
4231,Alan Watts,4231,
4232,Christopher Hitchens,4232,
4233,Christopher Hitchens,4233,
4234,Alec Guinness,4234,
4235,JFK,4235,
4236,JFK,4236,
4237,Malcolm X,4237,
4238,Barack Obama,4238,
4239,FDR,4239,
4240,Barack Obama,4240,
4241,Bernie Sanders,4241,
4242,Donald Trump,4242,
4243,Dave Chappelle,4243,
4244,Ronald Reagan,4244,
4245,Milton Friedman,4245,
4246,Alec Guinness,4246,
4247,The Notorious B.I.G.,4247,
4248,Jerry Seinfeld,4248,
4249,Boris Johnson,4249,
4250,Barack Obama,4250,
4251,2Pac,4251,
4252,Barack Obama,4252,
4253,Louis Farrakhan,4253,
4254,Milton Friedman,4254,
4255,Ayn Rand,4255,
4256,Alec Guinness,4256,
4257,FDR,4257,
4258,Ayn Rand,4258,
4259,Donald Trump,4259,
4260,Richard Nixon,4260,
4261,Barack Obama,4261,
4262,Ayn Rand,4262,
4263,Louis Farrakhan,4263,
4264,Bernie Sanders,4264,
4265,Bill Clinton,4265,
4266,Alec Guinness,4266,
4267,Mark Zuckerberg,4267,
4268,Barack Obama,4268,
4269,JFK,4269,
4270,JFK,4270,
4271,Bernie Sanders,4271,
4272,Alec Guinness,4272,
4273,The Notorious B.I.G.,4273,
4274,Christopher Hitchens,4274,
4275,Alec Guinness,4275,
4276,Barack Obama,4276,
4277,Winston Churchill,4277,
4278,Ronald Reagan,4278,
4279,Nelson Mandela,4279,
